,Uid,Elevation_m
418,-157.10051_21.18298,121.1679993
419,-157.10779_21.18060,132.2969971
420,-157.10935_21.18094,135.0
421,-157.11091_21.18127,130.0
422,-157.10076_21.16599,142.5429993
423,-157.10105_21.16606,141.9980011
424,-157.10134_21.16612,140.9620056
425,-157.10163_21.16618,139.9129944
426,-157.10192_21.16624,138.7799988
427,-157.10011_21.17367,137.3280029
428,-157.09982_21.17361,139.2680054
429,-157.09953_21.17355,140.9850006
430,-157.09895_21.17342,142.9920044
431,-157.10407_21.16835,149.0749969
432,-157.10525_21.17087,152.9960022
433,-157.10681_21.17120,151.9880066
434,-157.10837_21.17153,150.2830048
435,-157.10992_21.17187,142.7929993
436,-157.11139_21.17218,136.5149994
437,-157.11328_21.17635,130.0039978
438,-157.11397_21.17349,123.3180008
439,-156.97155_21.07065,20.0
440,-156.96346_21.06887,20.0
441,-156.96478_21.06915,20.0
442,-156.96024_21.06768,20.0
443,-156.75801_21.10079,62.9152985
444,-156.75281_21.10168,9.4090405
445,-156.75338_21.10124,6.9917102
446,-157.00697_21.16247,442.1359863
447,-156.98841_21.07668,19.8843002
448,-156.98821_21.07658,19.9545994
449,-156.98719_21.07612,19.0977001
450,-156.98801_21.07649,19.9155998
451,-156.97832_21.07236,20.0
452,-156.97811_21.07225,20.0
453,-156.98953_21.07709,18.9864998
454,-156.98861_21.07676,19.6674004
455,-156.98921_21.07709,20.0
456,-156.98747_21.07630,19.9613991
457,-156.98760_21.07619,14.8801003
458,-156.98250_21.07395,20.0
459,-156.98223_21.07383,20.0
460,-156.98197_21.07368,20.0
461,-156.98025_21.07313,20.0
462,-156.97987_21.07299,20.0
463,-157.01101_21.08273,7.0033698
464,-157.01126_21.08286,6.6692801
465,-157.01151_21.08300,6.3701301
466,-157.01206_21.08326,4.9775901
467,-157.01233_21.08334,5.0
468,-157.01263_21.08345,5.0
469,-157.01290_21.08353,5.0
470,-157.01242_21.08416,6.09126
471,-157.01203_21.08385,7.0014701
472,-157.01178_21.08374,6.8403101
473,-157.01152_21.08362,6.8013101
474,-157.01126_21.08350,6.1629701
475,-157.01074_21.08326,6.9942002
476,-157.01049_21.08375,6.0
477,-157.01075_21.08388,6.05124
478,-157.01101_21.08400,6.0
479,-157.01126_21.08412,6.0
480,-157.01152_21.08424,6.85286
481,-157.01177_21.08436,6.8299499
482,-157.01230_21.08440,7.0
483,-157.01216_21.08467,7.0184798
484,-157.00911_21.08191,7.9015698
485,-157.00945_21.08203,7.91856
486,-157.00970_21.08213,7.96876
487,-157.00996_21.08225,7.35286
488,-157.01021_21.08236,6.9869199
489,-157.01049_21.08251,7.0
490,-157.01075_21.08262,7.0
491,-157.01048_21.08314,7.0
492,-157.01022_21.08302,7.0011301
493,-157.00996_21.08290,7.0
494,-157.00970_21.08278,6.9753299
495,-157.00945_21.08266,8.0
496,-157.00919_21.08255,8.0
497,-157.00883_21.08237,7.9898801
498,-157.00856_21.08282,7.0799699
499,-157.00895_21.08300,7.0
500,-157.00921_21.08313,7.0001101
501,-157.00946_21.08325,6.0
502,-157.00971_21.08337,6.0
503,-157.00997_21.08350,6.0
504,-157.01022_21.08362,6.0
505,-156.99849_21.08352,39.4541016
506,-156.99829_21.08336,37.0013008
507,-156.99868_21.08323,34.3214989
508,-156.99886_21.08296,31.2523994
509,-156.79552_21.07381,13.0
510,-156.79419_21.07601,42.6856003
511,-156.79606_21.07158,20.0088997
512,-156.80277_21.07127,12.8413
513,-156.79589_21.07464,21.5268993
514,-156.79631_21.07147,19.0
515,-156.80188_21.07240,13.0
516,-156.79894_21.07317,13.0
517,-156.79790_21.07365,13.0
518,-156.79687_21.07364,13.0
519,-156.80129_21.07051,16.0013008
520,-156.80416_21.06856,16.0
521,-156.81570_21.06772,15.2025003
522,-156.81191_21.06909,13.8427
523,-156.80615_21.07114,12.0
524,-157.08974_21.18197,159.9940033
525,-157.08573_21.18110,163.022995
526,-157.08944_21.18190,161.0
527,-157.08603_21.18117,164.026001
528,-157.08633_21.18123,163.2640076
529,-157.08662_21.18131,163.0
530,-156.81677_21.06774,14.0832005
531,-156.81913_21.06789,12.0
532,-156.82418_21.06447,8.41646
533,-157.08914_21.18184,161.8869934
534,-157.08884_21.18177,162.0
535,-157.08854_21.18171,162.0169983
536,-157.05218_21.16225,233.9960022
537,-157.05414_21.16241,231.0
538,-157.05584_21.16296,219.2870026
539,-157.05893_21.16416,211.6069946
540,-157.06051_21.16435,208.996994
541,-157.04439_21.16764,285.526001
542,-157.04822_21.16631,259.427002
543,-157.04833_21.16978,265.2219849
544,-157.04908_21.17296,272.0109863
545,-157.05332_21.17131,253.2140045
546,-157.05252_21.17614,261.2690125
547,-157.05238_21.17824,240.253006
548,-157.05504_21.17902,251.9069977
549,-157.05141_21.16901,245.4160004
550,-157.04883_21.17107,252.7980042
551,-157.05693_21.16391,218.5870056
552,-157.06987_21.15940,183.0160065
553,-157.06251_21.16710,206.9759979
554,-156.95460_21.07414,105.7710037
555,-156.95216_21.07581,128.2510071
556,-156.97114_21.07420,39.4963989
557,-156.97017_21.07985,120.651001
