,Uid,dist2_DomWells_m
193,-157.06076_21.17765,17168.92122330431
194,-157.06090_21.17688,17119.227119181058
195,-157.06107_21.17648,17099.8821752138
196,-157.06031_21.17636,17034.857560537755
197,-157.05991_21.17547,16935.732902819123
198,-157.00697_21.16215,12335.742414669576
199,-157.00687_21.16186,12302.865168938388
200,-157.00669_21.16195,12302.144479722285
201,-157.00653_21.16204,12301.263335164072
202,-157.00676_21.16228,12336.506442662372
203,-157.00675_21.16256,12362.789285054707
204,-157.00607_21.16231,12301.900668476355
205,-157.00554_21.16218,12261.372308413855
206,-157.00556_21.16198,12243.391821534859
207,-157.00579_21.16191,12248.834928836372
208,-157.00597_21.16181,12248.977508556845
209,-156.97902_21.07264,3625.204547537895
210,-156.97856_21.07244,3574.532048651434
211,-156.97779_21.07208,3488.8740836417774
212,-156.97743_21.07189,3448.7645831952777
213,-156.98923_21.07688,4756.435058615848
214,-156.98888_21.07686,4720.572015870034
215,-157.06210_21.16463,16280.183126581633
216,-157.06519_21.16514,16559.061829318493
217,-157.06656_21.16647,16762.84504231182
218,-157.06882_21.16369,16743.246738333597
219,-157.04613_21.16245,14903.980791810385
220,-157.06121_21.17479,16978.998867298917
221,-157.06346_21.17201,16934.26201304736
222,-157.06472_21.17397,17178.186066811028
223,-157.06586_21.17588,17409.268747795897
224,-157.04328_21.16448,14858.143445196365
225,-157.00406_21.16160,12126.923219557468
226,-157.00311_21.16169,12086.031359583601
227,-157.00333_21.16198,12125.439476883665
228,-157.00368_21.16239,12182.277451508286
229,-157.00388_21.16229,12183.239057505692
230,-157.00425_21.16210,12184.478797800739
231,-157.00443_21.16201,12185.616161121587
232,-157.00631_21.16162,12249.93522013111
233,-157.00647_21.16153,12250.567312623665
234,-157.00520_21.16214,12238.93699167451
235,-157.00529_21.16230,12258.93049162841
236,-157.00547_21.16261,12298.049926259722
237,-157.00556_21.16277,12317.706833858058
238,-156.99814_21.08295,5825.681047742828
239,-157.00460_21.16186,12180.479715705878
240,-157.00488_21.16254,12260.456317028467
241,-157.00408_21.16278,12240.628532674737
242,-157.00419_21.16303,12270.46536142816
243,-157.00376_21.16340,12283.716122227903
244,-157.00434_21.16375,12347.134853681326
245,-157.00416_21.16344,12307.931078354684
246,-157.00483_21.16353,12352.130770204249
247,-157.00476_21.16333,12329.374725352922
248,-157.00469_21.16316,12309.305546087102
249,-157.00555_21.16355,12392.152357744819
250,-157.00567_21.16376,12418.00610347844
251,-157.00578_21.16396,12443.593671565537
252,-157.00556_21.16401,12436.352379274882
253,-157.00538_21.16370,12396.9799803216
254,-157.00522_21.16378,12396.218987793169
255,-157.00540_21.16409,12435.486939771137
256,-157.00491_21.16393,12394.659309731202
257,-157.00509_21.16424,12433.901345097836
258,-157.00481_21.16418,12413.13419938396
259,-157.00414_21.16427,12386.533546435847
260,-157.00435_21.16454,12422.870746834487
261,-157.00459_21.16481,12461.602090281689
262,-157.00489_21.16479,12476.030031893522
263,-157.00547_21.16464,12491.601845446728
264,-157.00592_21.16462,12513.853421752196
265,-157.00575_21.16438,12481.179032619291
266,-157.00603_21.16426,12484.78033946035
267,-157.00616_21.16454,12518.144109410352
268,-157.00505_21.16292,12304.904748840045
269,-157.05414_21.17199,16240.25122148686
270,-157.06280_21.16713,16517.849465408057
271,-157.06308_21.16722,16546.554203262356
272,-157.06338_21.16727,16573.79337234015
273,-157.06367_21.16735,16601.524464468424
274,-157.05438_21.17224,16277.785471124816
275,-157.05462_21.17249,16314.55754270845
276,-157.05489_21.17273,16353.039007873997
277,-157.05513_21.17299,16391.473896776766
278,-157.03023_21.09296,9339.650735118968
279,-157.03305_21.09458,9673.461295859199
280,-157.03387_21.09496,9767.124806987264
281,-157.07721_21.18321,18824.162099208555
282,-157.07877_21.18354,18968.017436417376
283,-157.07478_21.17968,18374.077137480657
284,-157.06762_21.17599,17550.5846865498
285,-157.07008_21.17262,17487.47121806848
286,-157.07129_21.17273,17588.777958064817
287,-157.07016_21.17654,17784.974891029502
288,-157.07045_21.17660,17811.270241419686
289,-157.07074_21.17666,17838.317249787804
290,-157.07104_21.17672,17865.874596007856
291,-157.07133_21.17679,17893.639950723766
292,-157.08469_21.16657,18234.95141275132
293,-157.08606_21.16793,18439.39123279322
294,-157.08786_21.16719,18539.65188661212
295,-157.08844_21.17135,18865.288409201745
296,-157.09097_21.16782,18841.31576353756
297,-157.09252_21.16821,18996.648349132218
298,-157.09504_21.16464,18981.695019301478
299,-157.07518_21.16508,17353.27788539542
300,-157.03453_21.09521,9841.53550255219
301,-157.02861_21.09604,9290.479970960538
302,-157.03177_21.09674,9625.59262085578
303,-157.03387_21.09658,9825.156050831984
304,-157.04190_21.09985,10732.171222818124
305,-157.04395_21.10145,10992.244501596695
306,-157.04702_21.10328,11361.789383011022
307,-157.04836_21.10315,11487.559876373152
308,-157.04870_21.10500,11592.508460315701
309,-157.04969_21.10587,11723.777386031587
310,-157.04145_21.10320,10818.176218924875
311,-157.04297_21.10333,10970.634809648913
312,-157.04397_21.10364,11080.56416344191
313,-157.04511_21.10404,11206.49466262847
314,-157.04587_21.10469,11306.932435397312
315,-157.04715_21.10509,11446.201251936476
316,-156.99801_21.08314,5819.549847220636
317,-156.99752_21.08390,5796.344060353006
318,-156.99739_21.08409,5790.376884830098
319,-156.99713_21.08446,5778.7043764342725
320,-156.99701_21.08465,5773.063844665406
321,-156.99687_21.08485,5767.121868317707
322,-156.99658_21.08527,5754.977950381827
323,-156.99621_21.08582,5740.353816653153
324,-156.99862_21.08139,5824.958125985965
325,-156.99822_21.08195,5802.120036352298
326,-156.99810_21.08214,5795.6537281858045
327,-156.99797_21.08233,5789.127522739554
328,-156.99784_21.08252,5782.630734429472
329,-156.99772_21.08271,5776.287029904905
330,-156.99747_21.08308,5764.080329682149
331,-156.99735_21.08327,5758.134029291117
332,-156.99704_21.08340,5732.369335876256
333,-156.99692_21.08357,5726.150897661926
334,-156.99669_21.08381,5711.288141278708
335,-156.99684_21.08402,5733.666902665334
336,-156.99671_21.08420,5727.838635189361
337,-156.99658_21.08439,5722.013897055623
338,-156.98834_21.07849,4709.885211627104
339,-156.98783_21.07813,4648.447723499825
340,-156.98773_21.07839,4645.776635485056
341,-156.98755_21.07805,4618.4102731647445
342,-156.98738_21.07798,4598.745283499218
343,-156.98685_21.07802,4547.226754729874
344,-156.98655_21.07763,4505.509774860844
345,-156.98645_21.07850,4521.330092691335
346,-156.98667_21.07856,4544.743478742177
347,-156.98688_21.07864,4567.767073116523
348,-156.98735_21.07867,4616.56873745614
349,-157.00588_21.16273,12331.702065832536
350,-157.00612_21.16270,12341.59760077681
351,-157.00625_21.16290,12367.612189401236
352,-157.06633_21.18101,17840.246654433988
353,-157.06786_21.18123,17970.846813496137
354,-157.06942_21.18156,18112.590143124562
355,-157.07098_21.18190,18255.306863179554
356,-157.07255_21.18223,18398.041320399687
357,-157.07566_21.18292,18684.78038098035
358,-156.85161_21.05797,2509.5467445971703
359,-156.87697_21.04899,36.0520543836538
360,-156.87755_21.04803,155.49639062940463
361,-156.87726_21.04898,64.09282104189951
362,-156.76117_21.09520,3019.5614003861833
363,-156.76187_21.09609,3003.80611995882
364,-156.76199_21.09639,2989.974919814373
365,-156.98789_21.07911,4683.105409385876
366,-156.98706_21.07882,4591.729786316769
367,-157.00248_21.08288,6255.792252198798
368,-157.00237_21.08303,6249.430559757361
369,-157.00226_21.08318,6243.198191789356
370,-157.00215_21.08333,6236.958079830833
371,-157.00204_21.08347,6230.797155539129
372,-157.00193_21.08362,6224.521043394464
373,-157.00161_21.08407,6206.506298023153
374,-157.00138_21.08437,6194.590157996388
375,-157.00115_21.08468,6182.073517966112
376,-157.00103_21.08485,6175.767196416982
377,-157.00090_21.08503,6169.254022956338
378,-157.00076_21.08522,6162.305815596498
379,-157.00061_21.08541,6155.099858362702
380,-157.00046_21.08562,6147.646822843096
381,-157.00030_21.08585,6139.9044609357215
382,-157.00013_21.08608,6132.182830083745
383,-156.95339_21.06640,919.9479267072355
384,-156.95436_21.06659,1017.7121925955652
385,-156.95454_21.06661,1035.8849367783582
386,-156.95471_21.06662,1054.2678043188525
387,-156.79584_21.07375,3550.407535605813
388,-157.09732_21.16916,19463.029804468148
389,-157.09888_21.16950,19616.501814240208
390,-157.08724_21.16317,18225.217873066962
391,-157.08664_21.17198,18761.227297410165
392,-157.08726_21.17619,19101.771422698126
393,-156.76241_21.09543,3094.170559474528
394,-156.77030_21.09000,4105.571257819456
395,-156.77278_21.08783,4458.421483538772
396,-156.77363_21.08723,4567.82786475127
397,-156.77535_21.08943,4550.7799200056015
398,-156.77466_21.08658,4695.728437181389
399,-156.79158_21.07644,4057.79798696097
400,-156.79130_21.07665,4091.560253160677
401,-156.78955_21.07762,4298.0690541589765
402,-156.78581_21.08057,4771.60797935474
403,-156.79344_21.07649,3875.497993752752
404,-157.00011_21.16149,11912.945222914255
405,-157.00730_21.16189,12329.689000693645
406,-157.00744_21.16210,12356.837343892956
407,-157.00755_21.16234,12385.536035055875
408,-157.00739_21.16247,12388.297465481872
409,-157.00715_21.16255,12383.351213760809
410,-157.08975_21.17270,19064.24747476379
411,-157.09102_21.17271,19169.554106333435
412,-157.09193_21.17720,19549.764140879197
413,-157.09363_21.17756,19713.398558464516
414,-157.09675_21.17823,20013.969796265977
415,-157.09919_21.17482,19987.943799047825
416,-157.09778_21.18070,20267.155193007107
417,-157.10038_21.17677,20215.577471677443
418,-157.10051_21.18298,20645.375730818676
419,-157.10779_21.18060,21087.147169054744
420,-157.10935_21.18094,21239.364380142386
421,-157.11091_21.18127,21391.78599821325
422,-157.10076_21.16599,19557.785329361966
423,-157.10105_21.16606,19586.54733262024
424,-157.10134_21.16612,19615.250661948
425,-157.10163_21.16618,19643.96020248608
426,-157.10192_21.16624,19672.702283447168
427,-157.10011_21.17367,19989.25262657457
428,-157.09982_21.17361,19961.02329255064
429,-157.09953_21.17355,19932.77046934167
430,-157.09895_21.17342,19876.25810337283
431,-157.10407_21.16835,19988.76689454144
432,-157.10525_21.17087,20246.467049040984
433,-157.10681_21.17120,20400.90650799207
434,-157.10837_21.17153,20555.5257357116
435,-157.10992_21.17187,20710.32039448297
436,-157.11139_21.17218,20855.5966375239
437,-157.11328_21.17635,21277.320862294837
438,-157.11397_21.17349,21159.481583094464
439,-156.97155_21.07065,2824.7439142531152
440,-156.96346_21.06887,1967.3861210591251
441,-156.96478_21.06915,2106.4812578164733
442,-156.96024_21.06768,1626.129452053461
443,-156.75801_21.10079,2358.421894871686
444,-156.75281_21.10168,1901.4778321204847
445,-156.75338_21.10124,1977.1337965798596
446,-157.00697_21.16247,12366.004315204422
447,-156.98841_21.07668,4668.487360331481
448,-156.98821_21.07658,4645.8209333653
449,-156.98719_21.07612,4531.078216144409
450,-156.98801_21.07649,4624.031156667769
451,-156.97832_21.07236,3548.4468161863983
452,-156.97811_21.07225,3525.07114300498
453,-156.98953_21.07709,4791.9610940186685
454,-156.98861_21.07676,4690.5591244626785
455,-156.98921_21.07709,4760.1006173793985
456,-156.98747_21.07630,4564.62534218834
457,-156.98760_21.07619,4574.47468142523
458,-156.98250_21.07395,4005.777052152412
459,-156.98223_21.07383,3976.260608399741
460,-156.98197_21.07368,3946.974985165542
461,-156.98025_21.07313,3759.9821107613125
462,-156.97987_21.07299,3718.1771720506013
463,-157.01101_21.08273,7108.834946102433
464,-157.01126_21.08286,7137.617697254844
465,-157.01151_21.08300,7166.3934150466
466,-157.01206_21.08326,7228.018545762751
467,-157.01233_21.08334,7257.8596554103915
468,-157.01263_21.08345,7290.78870293179
469,-157.01290_21.08353,7320.3436483211
470,-157.01242_21.08416,7289.688397177345
471,-157.01203_21.08385,7241.832452007174
472,-157.01178_21.08374,7212.84749263758
473,-157.01152_21.08362,7183.882041239389
474,-157.01126_21.08350,7154.79183430243
475,-157.01074_21.08326,7095.428272316055
476,-157.01049_21.08375,7083.698694257177
477,-157.01075_21.08388,7113.83115923803
478,-157.01101_21.08400,7143.000796136728
479,-157.01126_21.08412,7172.089379898738
480,-157.01152_21.08424,7201.12591967049
481,-157.01177_21.08436,7230.085449855716
482,-157.01230_21.08440,7284.205341311552
483,-157.01216_21.08467,7277.620197273454
484,-157.00911_21.08191,6895.183360396265
485,-157.00945_21.08203,6932.07851196844
486,-157.00970_21.08213,6960.265189924831
487,-157.00996_21.08225,6989.288927686765
488,-157.01021_21.08236,7018.379390147536
489,-157.01049_21.08251,7049.972400913674
490,-157.01075_21.08262,7079.043396830666
491,-157.01048_21.08314,7065.640198131667
492,-157.01022_21.08302,7036.488189018752
493,-157.00996_21.08290,7007.349065727541
494,-157.00970_21.08278,6978.161378468399
495,-157.00945_21.08266,6948.9711878733815
496,-157.00919_21.08255,6919.908043752924
497,-157.00883_21.08237,6878.851540223294
498,-157.00856_21.08282,6863.771350514456
499,-157.00895_21.08300,6908.364440402367
500,-157.00921_21.08313,6937.449659257105
501,-157.00946_21.08325,6966.489786163816
502,-157.00971_21.08337,6995.553039791461
503,-157.00997_21.08350,7024.585407422313
504,-157.01022_21.08362,7053.7016976456325
505,-156.99849_21.08352,5879.07420173188
506,-156.99829_21.08336,5854.055641876995
507,-156.99868_21.08323,5888.675811111227
508,-156.99886_21.08296,5897.796671351087
509,-156.79552_21.07381,3584.206999402738
510,-156.79419_21.07601,3784.1801747637915
511,-156.79606_21.07158,3474.374568695175
512,-156.80277_21.07127,2785.8912161392327
513,-156.79589_21.07464,3570.866302441003
514,-156.79631_21.07147,3446.8510152376803
515,-156.80188_21.07240,2905.3171084248456
516,-156.79894_21.07317,3221.996907000718
517,-156.79790_21.07365,3340.201115483962
518,-156.79687_21.07364,3443.3197202104457
519,-156.80129_21.07051,2918.499835185845
520,-156.80416_21.06856,2590.4852975145004
521,-156.81570_21.06772,1390.4285855102391
522,-156.81191_21.06909,1805.8248206646301
523,-156.80615_21.07114,2440.0267750981698
524,-157.08974_21.18197,19708.08180095736
525,-157.08573_21.18110,19328.407927126224
526,-157.08944_21.18190,19679.615515420108
527,-157.08603_21.18117,19356.705346793384
528,-157.08633_21.18123,19385.014230969362
529,-157.08662_21.18131,19413.78755100315
530,-156.81677_21.06774,1281.1638157508607
531,-156.81913_21.06789,1044.832145632364
532,-156.82418_21.06447,508.13208176831046
533,-157.08914_21.18184,19651.191083210626
534,-157.08884_21.18177,19622.77753803101
535,-157.08854_21.18171,19594.375006642887
536,-157.05218_21.16225,15339.991474699389
537,-157.05414_21.16241,15501.98755788411
538,-157.05584_21.16296,15673.065439181084
539,-157.05893_21.16416,15999.941517884265
540,-157.06051_21.16435,16135.811954113049
541,-157.04439_21.16764,15191.664291651092
542,-157.04822_21.16631,15360.841385998181
543,-157.04833_21.16978,15644.899548201918
544,-157.04908_21.17296,15954.412592016779
545,-157.05332_21.17131,16126.703492410226
546,-157.05252_21.17614,16456.149001395803
547,-157.05238_21.17824,16616.772508812446
548,-157.05504_21.17902,16867.914898384566
549,-157.05141_21.16901,15806.22556430962
550,-157.04883_21.17107,15784.089627404892
551,-157.05693_21.16391,15827.1868846432
552,-157.06987_21.15940,16530.46402445523
553,-157.06251_21.16710,16493.366661955093
554,-156.95460_21.07414,1283.341865635213
555,-156.95216_21.07581,1222.9498059409045
556,-156.97114_21.07420,2861.019689682814
557,-156.97017_21.07985,2996.6274913935777
558,-157.04770_21.10623,11546.3592562417
559,-157.02962_21.09637,9400.876350949662
560,-157.04635_21.10278,11277.086359828832
561,-157.04608_21.10267,11247.033129023266
562,-157.04583_21.10256,11218.162649558968
563,-157.04557_21.10244,11188.225462552815
564,-157.04597_21.10339,11264.371428240118
565,-157.04570_21.10329,11234.132232709766
566,-157.04545_21.10318,11204.924479752459
567,-157.04518_21.10306,11174.962496301443
568,-157.04488_21.10293,11140.45638983745
569,-157.04464_21.10283,11112.546632659165
570,-157.04413_21.10261,11055.129330189204
571,-157.04383_21.10248,11020.70767514709
572,-157.04358_21.10238,10992.2088770604
573,-157.04332_21.10227,10963.015220395422
574,-157.04308_21.10216,10935.202815712672
575,-157.03017_21.09661,9464.033800983687
576,-157.02930_21.09873,9462.346312909873
577,-157.04001_21.10254,10652.467213328464
578,-157.04677_21.10579,11437.590356438515
579,-157.04750_21.10254,11380.055916261663
580,-157.04660_21.10606,11432.76385965787
581,-157.04645_21.10637,11430.972244123262
582,-157.04719_21.10118,11299.053356592365
583,-157.04016_21.09616,10429.495132764629
584,-157.03982_21.09696,10423.943710035252
585,-157.04010_21.09697,10451.756172719899
586,-157.04035_21.09707,10480.037810995482
587,-157.04063_21.09715,10510.41401038816
588,-157.04093_21.09725,10543.244723960132
589,-157.04188_21.09765,10651.25896279733
590,-157.04052_21.09612,10464.289670862017
591,-157.03809_21.09753,10273.55139847864
592,-157.03582_21.10003,10146.097201368233
593,-157.03526_21.09955,10072.665400558068
594,-157.00020_21.08451,6082.849738270973
595,-156.99968_21.08148,5934.021225817548
596,-156.99986_21.08156,5953.982240850929
597,-157.00027_21.08333,6049.7960949908875
598,-156.99951_21.08204,5934.0983378961
599,-157.00076_21.08209,6060.202687486412
600,-156.99868_21.08279,5874.114592073243
601,-156.99990_21.08364,6023.431757512164
602,-156.99902_21.08221,5889.992792415503
603,-156.99990_21.08390,6031.635055814925
604,-156.99847_21.08307,5862.443002672404
605,-157.00151_21.08258,6149.524629226811
606,-157.00160_21.08241,6153.978116595584
607,-157.00140_21.08227,6129.987585595364
608,-157.00167_21.08206,6150.766995561524
609,-157.00152_21.08197,6132.852728227336
610,-157.00115_21.08197,6095.697007787918
611,-157.05291_21.11069,12235.048590769866
612,-157.05337_21.13140,13342.405284355647
613,-157.05361_21.12899,13223.775380984023
614,-157.01722_21.15426,12228.408955415967
615,-157.01594_21.15427,12147.535502852148
616,-157.01490_21.15391,12050.868882405757
617,-157.01373_21.15409,11992.845692660205
618,-157.03017_21.17766,15106.890072054463
619,-157.01318_21.14995,11593.555309031499
620,-157.05153_21.10787,11982.827551577759
621,-157.08379_21.10696,15113.52262105359
622,-156.94407_21.06611,147.6529674591193
623,-156.95134_21.06563,725.8699782079822
624,-156.95038_21.06695,602.81252988689
625,-156.94530_21.06399,378.7454477225348
626,-156.99674_21.07877,5564.037596227835
627,-157.03532_21.10127,10147.390287038068
628,-157.03601_21.09966,10150.427131251967
629,-157.01803_21.16028,12809.354864318035
630,-157.01516_21.15509,12170.611544009682
631,-157.01420_21.15524,12124.003099137453
632,-157.01370_21.15546,12112.811756994832
633,-157.01332_21.15578,12117.82129417992
634,-157.02095_21.16035,12998.334399307249
635,-157.01953_21.16052,12923.88352495318
636,-157.01181_21.16460,12833.87463969797
637,-157.05674_21.16611,15978.740599990477
638,-157.00672_21.16418,12514.588292019871
639,-157.00980_21.15840,12145.416570630168
640,-157.05498_21.16531,15784.99291251477
641,-157.05597_21.16574,15891.762993166181
642,-157.05613_21.16715,16011.499113895745
643,-157.05181_21.16436,15473.839532389246
644,-157.05167_21.16492,15507.08246329576
645,-157.05153_21.16549,15539.867149133695
646,-157.05146_21.16577,15556.270761141428
647,-157.05123_21.16661,15605.031941045787
648,-157.05105_21.16696,15619.147614657308
649,-157.05113_21.16732,15653.334312420879
650,-156.96368_21.06961,1998.3480390172688
651,-156.99968_21.08112,5923.426011270577
652,-156.99468_21.07822,5341.9503832962155
653,-156.99405_21.07814,5276.179601966303
654,-157.05592_21.16802,16062.093528547482
655,-157.05570_21.16889,16113.028035902107
656,-157.05542_21.16998,16177.132414365715
657,-157.05568_21.17138,16305.092339553652
658,-157.05483_21.17087,16202.774462470883
659,-157.05309_21.16934,15955.4135328511
660,-157.05360_21.16853,15929.404098705214
661,-157.05397_21.16705,15842.552033001313
