,Uid,Coral_rank
863,-156.82436_21.06436,3
864,-156.82459_21.06417,3
865,-156.82483_21.06419,3
866,-156.82497_21.06443,3
867,-156.82506_21.06466,3
868,-156.82476_21.06462,3
869,-156.82484_21.06481,3
870,-156.82466_21.06493,3
871,-156.82449_21.06477,3
872,-156.82442_21.06509,3
873,-156.82431_21.06489,3
874,-156.82423_21.06521,3
875,-156.82407_21.06505,3
876,-156.82399_21.06539,3
877,-156.82392_21.06519,3
878,-156.82378_21.06552,3
879,-156.96624_21.07800,3
880,-156.82364_21.06531,3
881,-157.03540_21.09861,2
882,-157.03562_21.10168,2
883,-156.99877_21.08200,2
884,-156.99864_21.08220,2
885,-156.99839_21.08257,2
886,-156.98870_21.07881,3
887,-156.93544_21.06899,1
888,-156.94107_21.06730,1
889,-156.94365_21.06874,2
890,-156.95900_21.06897,2
891,-156.96197_21.07107,2
892,-156.95973_21.07109,2
893,-156.96866_21.07170,3
894,-156.95649_21.06670,2
895,-156.91193_21.05762,1
896,-156.91103_21.05740,1
897,-156.87937_21.04852,1
898,-156.88181_21.05436,1
899,-156.83282_21.05990,3
900,-156.82926_21.06196,3
901,-156.83022_21.06174,3
902,-156.82946_21.06325,3
903,-156.82936_21.06316,3
904,-156.83011_21.06311,3
905,-156.83435_21.05995,3
906,-156.83406_21.06138,3
907,-156.83353_21.06139,3
908,-156.83218_21.06284,3
909,-156.83431_21.06270,3
910,-156.77553_21.08477,3
911,-156.77942_21.08554,3
912,-156.77884_21.08481,3
913,-156.77127_21.08811,2
914,-156.79577_21.09391,3
915,-156.78673_21.08673,3
916,-157.02108_21.15203,2
917,-156.75997_21.09642,2
918,-157.03537_21.10404,2
919,-157.03355_21.10447,2
920,-156.83348_21.05817,3
921,-156.83428_21.05743,3
922,-156.83478_21.05724,3
923,-156.79791_21.07324,3
924,-156.83592_21.05691,3
925,-156.83521_21.05665,3
926,-156.83572_21.05744,3
927,-156.83468_21.05801,3
928,-156.83428_21.05772,3
929,-156.83346_21.05925,3
